Lead ID,Location,College,Year of Study,Program Interest,Lead Source,Converted
LD5197,Ahmedabad,ABC Institute,2nd,Electric Vehicle,Mass-Mailing,1
LD5198,Mumbai,XYZ University,2nd,Data Science,Google Form,0
LD5199,Ahmedabad,LMN College,4th,Robotics,Whatsapp,0
LD5200,Bangalore,XYZ University,1st,Robotics,Whatsapp,0
LD5201,Surat,XYZ University,1st,Robotics,Mass-Mailing,0
LD5202,Bangalore,PQR University,1st,Electric Vehicle,Mass-Mailing,1
LD5203,Bangalore,PQR University,1st,Electric Vehicle,LinkedIn,0
LD5204,Ahmedabad,LMN College,2nd,Data Science,College Collaboration,1
LD5205,Surat,ABC Institute,1st,Data Science,College Collaboration,1
LD5206,Surat,LMN College,2nd,Electric Vehicle,LinkedIn,0
LD5207,Bangalore,XYZ University,4th,Data Science,Google Form,1
LD5208,Delhi,PQR University,2nd,AI,Whatsapp,0
LD5209,Bangalore,XYZ University,2nd,AI,LinkedIn,1
LD5210,Bangalore,LMN College,4th,Data Science,Whatsapp,0
LD5211,Delhi,LMN College,3rd,AI,Google Form,1
LD5212,Surat,ABC Institute,2nd,Data Science,Whatsapp,0
LD5213,Surat,ABC Institute,4th,Electric Vehicle,College Collaboration,0
LD5214,Mumbai,XYZ University,4th,Electric Vehicle,Google Form,1
LD5215,Ahmedabad,PQR University,1st,Robotics,Whatsapp,0
LD5216,Surat,ABC Institute,3rd,Electric Vehicle,Google Form,0
LD5217,Delhi,PQR University,4th,Robotics,LinkedIn,0
LD5218,Ahmedabad,ABC Institute,1st,Electric Vehicle,Mass-Mailing,1
LD5219,Mumbai,XYZ University,3rd,Robotics,Instagram,0
LD5220,Bangalore,XYZ University,2nd,AI,LinkedIn,0
LD5221,Ahmedabad,XYZ University,1st,AI,Whatsapp,0
LD5222,Delhi,PQR University,2nd,Electric Vehicle,College Collaboration,0
LD5223,Ahmedabad,XYZ University,2nd,AI,Mass-Mailing,0
LD5224,Ahmedabad,XYZ University,3rd,Data Science,LinkedIn,0
LD5225,Surat,PQR University,2nd,Data Science,Whatsapp,0
LD5226,Surat,LMN College,3rd,AI,LinkedIn,0
LD5227,Ahmedabad,LMN College,3rd,Data Science,Whatsapp,0
LD5228,Mumbai,PQR University,1st,Data Science,LinkedIn,1
LD5229,Bangalore,XYZ University,3rd,Robotics,Google Form,0
LD5230,Delhi,LMN College,3rd,Electric Vehicle,College Collaboration,0
LD5231,Ahmedabad,ABC Institute,3rd,Robotics,Mass-Mailing,0
LD5232,Surat,XYZ University,1st,Robotics,Whatsapp,0
LD5233,Delhi,XYZ University,3rd,Data Science,Google Form,1
LD5234,Surat,PQR University,3rd,Data Science,College Collaboration,0
LD5235,Bangalore,PQR University,3rd,Data Science,Google Form,0
LD5236,Mumbai,ABC Institute,4th,Electric Vehicle,Mass-Mailing,0
LD5237,Ahmedabad,PQR University,2nd,Electric Vehicle,Google Form,0
LD5238,Surat,PQR University,4th,Robotics,Mass-Mailing,0
LD5239,Delhi,ABC Institute,2nd,Electric Vehicle,College Collaboration,0
LD5240,Mumbai,XYZ University,4th,Electric Vehicle,Mass-Mailing,0
LD5241,Ahmedabad,LMN College,4th,Data Science,Instagram,1
LD5242,Surat,LMN College,2nd,Robotics,Whatsapp,0
LD5243,Delhi,PQR University,2nd,AI,Google Form,0
LD5244,Delhi,ABC Institute,4th,Data Science,College Collaboration,1
LD5245,Mumbai,LMN College,3rd,Electric Vehicle,Google Form,1
LD5246,Surat,LMN College,1st,AI,Mass-Mailing,0
LD5247,Delhi,LMN College,3rd,Electric Vehicle,College Collaboration,1
LD5248,Ahmedabad,XYZ University,4th,Robotics,College Collaboration,1
LD5249,Ahmedabad,ABC Institute,3rd,Data Science,Whatsapp,0
LD5250,Ahmedabad,LMN College,3rd,AI,Mass-Mailing,0
LD5251,Bangalore,PQR University,1st,Robotics,Whatsapp,0
LD5252,Surat,XYZ University,2nd,Data Science,Mass-Mailing,1
LD5253,Mumbai,XYZ University,4th,Robotics,Instagram,0
LD5254,Surat,LMN College,4th,AI,College Collaboration,0
LD5255,Mumbai,XYZ University,4th,AI,Whatsapp,1
LD5256,Bangalore,LMN College,2nd,Robotics,College Collaboration,0
LD5257,Ahmedabad,PQR University,3rd,Electric Vehicle,College Collaboration,0
LD5258,Mumbai,LMN College,4th,Data Science,Google Form,0
LD5259,Delhi,ABC Institute,3rd,Robotics,LinkedIn,0
LD5260,Ahmedabad,XYZ University,4th,Electric Vehicle,Google Form,1
LD5261,Delhi,XYZ University,2nd,Electric Vehicle,Google Form,0
LD5262,Mumbai,ABC Institute,4th,Electric Vehicle,Mass-Mailing,1
LD5263,Mumbai,LMN College,2nd,Robotics,College Collaboration,0
LD5264,Surat,PQR University,2nd,AI,LinkedIn,0
LD5265,Ahmedabad,PQR University,3rd,Electric Vehicle,Instagram,1
LD5266,Mumbai,PQR University,3rd,Data Science,College Collaboration,0
LD5267,Bangalore,XYZ University,2nd,Electric Vehicle,Whatsapp,0
LD5268,Delhi,ABC Institute,1st,Electric Vehicle,Mass-Mailing,0
LD5269,Surat,ABC Institute,1st,Data Science,College Collaboration,1
LD5270,Ahmedabad,LMN College,2nd,Robotics,LinkedIn,0
LD5271,Mumbai,PQR University,2nd,Robotics,Google Form,0
LD5272,Delhi,ABC Institute,3rd,Electric Vehicle,College Collaboration,0
LD5273,Ahmedabad,PQR University,3rd,Data Science,Whatsapp,0
LD5274,Mumbai,XYZ University,2nd,Electric Vehicle,Google Form,1
LD5275,Delhi,ABC Institute,2nd,Data Science,College Collaboration,0
LD5276,Bangalore,XYZ University,3rd,AI,College Collaboration,0
LD5277,Mumbai,LMN College,3rd,Electric Vehicle,Mass-Mailing,0
LD5278,Bangalore,LMN College,1st,Data Science,Google Form,0
LD5279,Mumbai,ABC Institute,2nd,Robotics,College Collaboration,1
LD5280,Ahmedabad,ABC Institute,4th,AI,Instagram,0
LD5281,Bangalore,ABC Institute,2nd,Robotics,College Collaboration,1
LD5282,Mumbai,PQR University,3rd,Electric Vehicle,College Collaboration,0
LD5283,Delhi,LMN College,2nd,Data Science,LinkedIn,0
LD5284,Ahmedabad,PQR University,3rd,Robotics,Whatsapp,1
LD5285,Surat,XYZ University,4th,Electric Vehicle,College Collaboration,0
LD5286,Ahmedabad,LMN College,1st,Robotics,Google Form,1
LD5287,Bangalore,XYZ University,2nd,AI,College Collaboration,1
LD5288,Surat,ABC Institute,1st,Electric Vehicle,College Collaboration,0
LD5289,Delhi,PQR University,2nd,AI,Instagram,0
LD5290,Delhi,ABC Institute,2nd,Electric Vehicle,Whatsapp,1
LD5291,Mumbai,PQR University,1st,Data Science,LinkedIn,0
LD5292,Bangalore,XYZ University,4th,AI,College Collaboration,0
LD5293,Bangalore,LMN College,1st,Electric Vehicle,College Collaboration,0
LD5294,Bangalore,XYZ University,2nd,Robotics,College Collaboration,0
LD5295,Mumbai,LMN College,3rd,AI,Instagram,1
LD5296,Delhi,ABC Institute,2nd,Electric Vehicle,Whatsapp,0
LD5297,Mumbai,XYZ University,1st,Robotics,Google Form,0
LD5298,Mumbai,ABC Institute,4th,AI,LinkedIn,0
LD5299,Bangalore,LMN College,3rd,AI,Instagram,0
LD5300,Delhi,LMN College,2nd,AI,Mass-Mailing,0
LD5301,Surat,ABC Institute,4th,Electric Vehicle,College Collaboration,1
LD5302,Surat,XYZ University,2nd,Electric Vehicle,Instagram,0
LD5303,Bangalore,ABC Institute,2nd,AI,Instagram,1
LD5304,Delhi,XYZ University,1st,Electric Vehicle,Whatsapp,1
LD5305,Delhi,XYZ University,2nd,Data Science,Whatsapp,0
LD5306,Mumbai,PQR University,4th,Robotics,Mass-Mailing,0
LD5307,Mumbai,LMN College,1st,Robotics,LinkedIn,0
LD5308,Mumbai,ABC Institute,2nd,Robotics,LinkedIn,0
LD5309,Surat,ABC Institute,3rd,Electric Vehicle,Mass-Mailing,1
LD5310,Bangalore,LMN College,3rd,Robotics,College Collaboration,1
LD5311,Bangalore,XYZ University,4th,Robotics,Mass-Mailing,0
LD5312,Surat,XYZ University,1st,Electric Vehicle,Instagram,0
LD5313,Mumbai,ABC Institute,2nd,Robotics,LinkedIn,1
LD5314,Ahmedabad,LMN College,1st,Electric Vehicle,LinkedIn,1
LD5315,Surat,PQR University,3rd,Data Science,Google Form,0
LD5316,Bangalore,XYZ University,3rd,Data Science,LinkedIn,0
LD5317,Surat,LMN College,2nd,AI,Instagram,0
LD5318,Mumbai,XYZ University,4th,Data Science,Google Form,1
LD5319,Ahmedabad,PQR University,1st,Robotics,Instagram,0
LD5320,Ahmedabad,LMN College,2nd,Data Science,Whatsapp,0
LD5321,Mumbai,XYZ University,1st,Electric Vehicle,Whatsapp,0
LD5322,Surat,PQR University,3rd,Data Science,Whatsapp,0
LD5323,Delhi,PQR University,1st,AI,Instagram,0
LD5324,Bangalore,ABC Institute,3rd,Data Science,College Collaboration,1
LD5325,Surat,PQR University,2nd,Data Science,Whatsapp,0
LD5326,Surat,PQR University,4th,Robotics,Google Form,0
LD5327,Mumbai,ABC Institute,4th,Data Science,LinkedIn,0
LD5328,Ahmedabad,ABC Institute,1st,Data Science,LinkedIn,0
LD5329,Ahmedabad,LMN College,1st,Robotics,Google Form,0
LD5330,Surat,PQR University,3rd,Electric Vehicle,Whatsapp,0
LD5331,Delhi,ABC Institute,4th,AI,College Collaboration,0
LD5332,Ahmedabad,LMN College,2nd,AI,Google Form,0
LD5333,Mumbai,PQR University,4th,Electric Vehicle,Whatsapp,0
LD5334,Bangalore,PQR University,2nd,Data Science,College Collaboration,0
LD5335,Delhi,XYZ University,2nd,Electric Vehicle,Instagram,1
LD5336,Mumbai,LMN College,2nd,AI,Mass-Mailing,1
LD5337,Surat,ABC Institute,1st,Data Science,Whatsapp,0
LD5338,Mumbai,LMN College,3rd,Data Science,Google Form,0
LD5339,Delhi,ABC Institute,4th,Electric Vehicle,Whatsapp,1
LD5340,Ahmedabad,LMN College,3rd,AI,Instagram,0
LD5341,Ahmedabad,PQR University,3rd,Electric Vehicle,Google Form,1
LD5342,Bangalore,PQR University,2nd,Robotics,Whatsapp,1
LD5343,Bangalore,PQR University,2nd,AI,Google Form,0
LD5344,Bangalore,ABC Institute,4th,Data Science,Google Form,0
LD5345,Bangalore,XYZ University,3rd,Data Science,Google Form,1
LD5346,Surat,ABC Institute,3rd,AI,College Collaboration,0
LD5347,Mumbai,ABC Institute,3rd,AI,Whatsapp,0
LD5348,Surat,LMN College,3rd,Robotics,College Collaboration,0
LD5349,Ahmedabad,ABC Institute,4th,Electric Vehicle,Instagram,0
LD5350,Delhi,ABC Institute,2nd,Robotics,College Collaboration,0
LD5351,Surat,LMN College,4th,Electric Vehicle,Whatsapp,1
LD5352,Ahmedabad,ABC Institute,2nd,Robotics,Mass-Mailing,1
LD5353,Bangalore,XYZ University,4th,Data Science,LinkedIn,0
LD5354,Mumbai,XYZ University,4th,Data Science,Mass-Mailing,0
LD5355,Bangalore,XYZ University,3rd,Data Science,Instagram,0
LD5356,Mumbai,LMN College,2nd,Robotics,Whatsapp,0
LD5357,Ahmedabad,XYZ University,3rd,Data Science,LinkedIn,0
LD5358,Surat,XYZ University,1st,Data Science,Mass-Mailing,1
LD5359,Ahmedabad,PQR University,1st,AI,Instagram,1
LD5360,Ahmedabad,ABC Institute,1st,Robotics,Instagram,0
LD5361,Ahmedabad,XYZ University,4th,Data Science,Google Form,0
LD5362,Ahmedabad,XYZ University,1st,AI,LinkedIn,0
LD5363,Mumbai,ABC Institute,1st,AI,Google Form,0
LD5364,Delhi,LMN College,4th,Electric Vehicle,Instagram,0
LD5365,Mumbai,XYZ University,1st,Data Science,Google Form,0
LD5366,Delhi,PQR University,2nd,Electric Vehicle,College Collaboration,1
LD5367,Mumbai,XYZ University,4th,AI,Google Form,0
LD5368,Bangalore,PQR University,3rd,Robotics,Mass-Mailing,0
LD5369,Mumbai,LMN College,4th,Electric Vehicle,Instagram,1
LD5370,Bangalore,XYZ University,4th,Data Science,LinkedIn,0
LD5371,Mumbai,XYZ University,3rd,AI,Mass-Mailing,0
LD5372,Ahmedabad,LMN College,4th,AI,College Collaboration,0
LD5373,Surat,PQR University,4th,Data Science,Google Form,0
LD5374,Mumbai,LMN College,4th,Electric Vehicle,Mass-Mailing,1
LD5375,Bangalore,LMN College,4th,AI,Mass-Mailing,0
LD5376,Ahmedabad,LMN College,3rd,Robotics,Mass-Mailing,1
LD5377,Surat,LMN College,4th,Robotics,College Collaboration,0
LD5378,Mumbai,LMN College,2nd,Electric Vehicle,Whatsapp,0
LD5379,Surat,LMN College,2nd,Robotics,College Collaboration,1
LD5380,Mumbai,XYZ University,1st,Data Science,LinkedIn,0
LD5381,Surat,PQR University,2nd,Data Science,LinkedIn,0
LD5382,Ahmedabad,LMN College,2nd,Robotics,College Collaboration,0
LD5383,Surat,LMN College,3rd,Data Science,Google Form,0
LD5384,Delhi,LMN College,2nd,Robotics,College Collaboration,0
LD5385,Bangalore,ABC Institute,1st,AI,Instagram,0
LD5386,Bangalore,XYZ University,2nd,Robotics,Instagram,0
LD5387,Surat,ABC Institute,4th,Electric Vehicle,Google Form,0
LD5388,Ahmedabad,XYZ University,2nd,Data Science,Instagram,1
LD5389,Surat,XYZ University,1st,Robotics,College Collaboration,0
LD5390,Ahmedabad,XYZ University,3rd,AI,College Collaboration,1
LD5391,Mumbai,XYZ University,3rd,Electric Vehicle,College Collaboration,0
LD5392,Mumbai,ABC Institute,1st,AI,LinkedIn,0
LD5393,Bangalore,ABC Institute,2nd,Robotics,Mass-Mailing,1
LD5394,Ahmedabad,PQR University,2nd,Data Science,College Collaboration,0
LD5395,Ahmedabad,LMN College,4th,AI,Whatsapp,1
LD5396,Delhi,LMN College,2nd,Robotics,Instagram,0
LD5397,Surat,PQR University,3rd,AI,Mass-Mailing,0
LD5398,Delhi,ABC Institute,3rd,AI,Mass-Mailing,0
LD5399,Mumbai,LMN College,4th,AI,Google Form,0
LD5400,Ahmedabad,ABC Institute,3rd,AI,College Collaboration,1
LD5401,Surat,PQR University,1st,Robotics,Instagram,0
LD5402,Delhi,LMN College,4th,AI,Instagram,1
LD5403,Surat,PQR University,1st,AI,Whatsapp,1
LD5404,Surat,XYZ University,4th,Electric Vehicle,Instagram,0
LD5405,Ahmedabad,LMN College,4th,Electric Vehicle,College Collaboration,0
LD5406,Delhi,LMN College,3rd,Data Science,LinkedIn,1
LD5407,Surat,LMN College,4th,AI,Mass-Mailing,1
LD5408,Bangalore,LMN College,3rd,Electric Vehicle,Whatsapp,0
LD5409,Bangalore,PQR University,4th,AI,Whatsapp,0
LD5410,Ahmedabad,PQR University,4th,AI,Google Form,0
LD5411,Mumbai,ABC Institute,4th,Data Science,Google Form,0
LD5412,Surat,PQR University,2nd,Robotics,LinkedIn,0
LD5413,Ahmedabad,XYZ University,2nd,Robotics,LinkedIn,1
LD5414,Mumbai,ABC Institute,2nd,Robotics,LinkedIn,0
LD5415,Delhi,LMN College,1st,Data Science,Whatsapp,0
LD5416,Bangalore,PQR University,3rd,AI,Instagram,0
LD5417,Bangalore,PQR University,1st,AI,LinkedIn,0
LD5418,Delhi,ABC Institute,1st,Electric Vehicle,Google Form,0
LD5419,Ahmedabad,XYZ University,1st,Electric Vehicle,LinkedIn,0
LD5420,Mumbai,XYZ University,2nd,Data Science,Instagram,0
LD5421,Mumbai,ABC Institute,3rd,Robotics,Whatsapp,0
LD5422,Surat,XYZ University,4th,AI,Whatsapp,0
LD5423,Mumbai,XYZ University,4th,Electric Vehicle,Whatsapp,1
LD5424,Surat,XYZ University,1st,Robotics,Whatsapp,0
LD5425,Ahmedabad,LMN College,4th,AI,LinkedIn,0
LD5426,Delhi,LMN College,4th,AI,Instagram,0
LD5427,Surat,LMN College,3rd,Data Science,LinkedIn,1
LD5428,Bangalore,PQR University,2nd,Electric Vehicle,Google Form,0
LD5429,Surat,ABC Institute,2nd,Data Science,LinkedIn,0
LD5430,Bangalore,LMN College,4th,AI,Google Form,1
LD5431,Bangalore,LMN College,3rd,Data Science,Instagram,0
LD5432,Surat,ABC Institute,3rd,Data Science,College Collaboration,0
LD5433,Bangalore,XYZ University,3rd,AI,Whatsapp,0
LD5434,Mumbai,XYZ University,1st,AI,LinkedIn,0
LD5435,Bangalore,LMN College,1st,Data Science,College Collaboration,0
LD5436,Surat,XYZ University,4th,Data Science,Whatsapp,1
LD5437,Bangalore,LMN College,4th,Data Science,LinkedIn,0
LD5438,Delhi,PQR University,1st,Robotics,Instagram,1
LD5439,Mumbai,LMN College,4th,Electric Vehicle,Mass-Mailing,0
LD5440,Surat,LMN College,2nd,Data Science,Whatsapp,1
LD5441,Delhi,LMN College,1st,Data Science,Instagram,0
LD5442,Mumbai,PQR University,1st,Robotics,Google Form,0
LD5443,Surat,LMN College,4th,Electric Vehicle,Google Form,0
LD5444,Ahmedabad,PQR University,2nd,Robotics,Instagram,1
LD5445,Mumbai,LMN College,3rd,Robotics,Whatsapp,0
LD5446,Delhi,LMN College,1st,Robotics,Whatsapp,0
LD5447,Mumbai,ABC Institute,4th,AI,Mass-Mailing,0
LD5448,Ahmedabad,XYZ University,4th,Data Science,College Collaboration,0
LD5449,Ahmedabad,LMN College,1st,Data Science,LinkedIn,0
LD5450,Mumbai,LMN College,2nd,AI,Mass-Mailing,0
LD5451,Surat,ABC Institute,1st,Data Science,College Collaboration,0
LD5452,Mumbai,ABC Institute,2nd,Electric Vehicle,LinkedIn,0
LD5453,Mumbai,PQR University,2nd,Electric Vehicle,Mass-Mailing,0
LD5454,Delhi,LMN College,3rd,Data Science,Whatsapp,0
LD5455,Delhi,ABC Institute,4th,Robotics,College Collaboration,1
LD5456,Bangalore,XYZ University,2nd,Robotics,Mass-Mailing,0
LD5457,Delhi,LMN College,4th,Electric Vehicle,College Collaboration,0
LD5458,Mumbai,ABC Institute,2nd,Electric Vehicle,Mass-Mailing,0
LD5459,Delhi,ABC Institute,1st,Data Science,Google Form,1
LD5460,Ahmedabad,ABC Institute,4th,Electric Vehicle,Whatsapp,1
LD5461,Ahmedabad,XYZ University,2nd,AI,Google Form,1
LD5462,Ahmedabad,XYZ University,1st,AI,Google Form,0
LD5463,Delhi,PQR University,4th,Robotics,College Collaboration,0
LD5464,Surat,LMN College,4th,AI,Instagram,0
LD5465,Mumbai,ABC Institute,1st,AI,Mass-Mailing,0
LD5466,Delhi,PQR University,1st,AI,Whatsapp,0
LD5467,Ahmedabad,XYZ University,4th,Electric Vehicle,LinkedIn,1
LD5468,Mumbai,ABC Institute,3rd,Robotics,Whatsapp,1
LD5469,Surat,PQR University,3rd,Data Science,Google Form,1
LD5470,Mumbai,LMN College,4th,AI,College Collaboration,0
LD5471,Surat,XYZ University,1st,Data Science,College Collaboration,0
LD5472,Mumbai,ABC Institute,1st,AI,Mass-Mailing,0
LD5473,Surat,ABC Institute,1st,Robotics,College Collaboration,0
LD5474,Mumbai,PQR University,1st,Data Science,Google Form,1
LD5475,Delhi,ABC Institute,2nd,Robotics,Mass-Mailing,0
LD5476,Mumbai,LMN College,2nd,Electric Vehicle,Mass-Mailing,0
LD5477,Surat,XYZ University,4th,AI,College Collaboration,0
LD5478,Delhi,LMN College,2nd,Data Science,Google Form,0
LD5479,Mumbai,XYZ University,2nd,Data Science,Google Form,1
LD5480,Delhi,PQR University,4th,Electric Vehicle,Whatsapp,0
LD5481,Ahmedabad,LMN College,3rd,Data Science,Whatsapp,1
LD5482,Surat,PQR University,1st,AI,Instagram,0
LD5483,Bangalore,ABC Institute,4th,Electric Vehicle,LinkedIn,0
LD5484,Bangalore,XYZ University,1st,AI,LinkedIn,1
LD5485,Ahmedabad,LMN College,3rd,AI,Mass-Mailing,0
LD5486,Delhi,XYZ University,1st,Robotics,Google Form,1
LD5487,Ahmedabad,XYZ University,1st,Electric Vehicle,Mass-Mailing,0
LD5488,Delhi,XYZ University,1st,Electric Vehicle,Instagram,0
LD5489,Bangalore,LMN College,4th,Data Science,Mass-Mailing,0
LD5490,Surat,PQR University,1st,Robotics,Mass-Mailing,1
LD5491,Delhi,PQR University,1st,Electric Vehicle,Google Form,0
LD5492,Bangalore,LMN College,2nd,Robotics,Mass-Mailing,1
LD5493,Delhi,ABC Institute,2nd,Robotics,Mass-Mailing,0
LD5494,Surat,ABC Institute,1st,AI,Whatsapp,0
LD5495,Surat,XYZ University,2nd,Electric Vehicle,LinkedIn,0
LD5496,Bangalore,LMN College,3rd,Electric Vehicle,Whatsapp,0
LD5497,Surat,LMN College,1st,Electric Vehicle,Whatsapp,0
LD5498,Delhi,PQR University,3rd,AI,LinkedIn,1
LD5499,Bangalore,PQR University,2nd,Robotics,Google Form,0
LD5500,Delhi,XYZ University,1st,Robotics,Google Form,0
LD5501,Ahmedabad,LMN College,1st,AI,LinkedIn,0
LD5502,Bangalore,XYZ University,3rd,AI,College Collaboration,0
LD5503,Delhi,XYZ University,1st,AI,College Collaboration,0
LD5504,Ahmedabad,XYZ University,4th,Electric Vehicle,College Collaboration,0
LD5505,Surat,PQR University,4th,Electric Vehicle,Whatsapp,0
LD5506,Ahmedabad,XYZ University,3rd,Robotics,Whatsapp,0
LD5507,Bangalore,XYZ University,3rd,Data Science,Whatsapp,0
LD5508,Delhi,LMN College,1st,Electric Vehicle,Whatsapp,0
LD5509,Mumbai,PQR University,3rd,Robotics,Whatsapp,0
LD5510,Mumbai,ABC Institute,4th,Electric Vehicle,Mass-Mailing,0
LD5511,Surat,PQR University,2nd,Electric Vehicle,College Collaboration,0
LD5512,Delhi,ABC Institute,1st,Robotics,College Collaboration,1
LD5513,Mumbai,ABC Institute,4th,AI,Mass-Mailing,1
LD5514,Delhi,XYZ University,4th,Data Science,Whatsapp,1
LD5515,Mumbai,XYZ University,2nd,Data Science,LinkedIn,0
LD5516,Ahmedabad,XYZ University,2nd,Electric Vehicle,LinkedIn,1
LD5517,Mumbai,ABC Institute,2nd,Robotics,College Collaboration,1
LD5518,Ahmedabad,LMN College,4th,AI,Whatsapp,1
LD5519,Bangalore,ABC Institute,3rd,AI,Google Form,0
LD5520,Delhi,XYZ University,2nd,Electric Vehicle,Instagram,0
LD5521,Bangalore,ABC Institute,2nd,Electric Vehicle,Instagram,1
LD5522,Surat,LMN College,2nd,AI,Whatsapp,0
LD5523,Bangalore,ABC Institute,2nd,Robotics,Instagram,0
LD5524,Delhi,LMN College,4th,Electric Vehicle,Mass-Mailing,0
LD5525,Bangalore,LMN College,2nd,Data Science,Instagram,0
LD5526,Ahmedabad,LMN College,4th,Electric Vehicle,Whatsapp,0
LD5527,Ahmedabad,LMN College,1st,AI,Whatsapp,0
LD5528,Bangalore,ABC Institute,2nd,AI,College Collaboration,0
LD5529,Delhi,XYZ University,1st,AI,Mass-Mailing,0
LD5530,Ahmedabad,XYZ University,1st,AI,Instagram,0
LD5531,Mumbai,ABC Institute,1st,AI,Whatsapp,0
LD5532,Bangalore,ABC Institute,2nd,Data Science,College Collaboration,0
LD5533,Mumbai,LMN College,3rd,Robotics,College Collaboration,0
LD5534,Bangalore,PQR University,3rd,Data Science,Mass-Mailing,1
LD5535,Delhi,LMN College,3rd,Data Science,College Collaboration,0
LD5536,Ahmedabad,PQR University,2nd,AI,Instagram,0
LD5537,Ahmedabad,PQR University,3rd,Electric Vehicle,College Collaboration,0
LD5538,Mumbai,ABC Institute,2nd,Robotics,Whatsapp,1
LD5539,Ahmedabad,XYZ University,1st,Robotics,Instagram,0
LD5540,Bangalore,ABC Institute,2nd,Data Science,Google Form,0
LD5541,Surat,ABC Institute,3rd,Electric Vehicle,Google Form,0
LD5542,Ahmedabad,PQR University,1st,AI,Whatsapp,0
LD5543,Bangalore,PQR University,3rd,Electric Vehicle,College Collaboration,1
LD5544,Mumbai,ABC Institute,2nd,Data Science,LinkedIn,1
LD5545,Mumbai,ABC Institute,3rd,Electric Vehicle,Whatsapp,0
LD5546,Bangalore,PQR University,3rd,AI,LinkedIn,0
LD5547,Ahmedabad,LMN College,1st,AI,Google Form,0
LD5548,Mumbai,LMN College,2nd,Data Science,Mass-Mailing,0
LD5549,Mumbai,PQR University,3rd,Electric Vehicle,College Collaboration,0
LD5550,Mumbai,XYZ University,4th,Electric Vehicle,Instagram,0
LD5551,Bangalore,PQR University,1st,AI,College Collaboration,0
LD5552,Bangalore,XYZ University,3rd,AI,College Collaboration,0
LD5553,Delhi,XYZ University,4th,Data Science,Instagram,1
LD5554,Bangalore,LMN College,3rd,Electric Vehicle,College Collaboration,0
LD5555,Delhi,LMN College,1st,Electric Vehicle,College Collaboration,1
LD5556,Surat,XYZ University,4th,Electric Vehicle,LinkedIn,1
LD5557,Surat,PQR University,1st,Robotics,College Collaboration,0
LD5558,Mumbai,XYZ University,4th,Robotics,Instagram,1
LD5559,Mumbai,LMN College,3rd,Electric Vehicle,Google Form,0
LD5560,Mumbai,ABC Institute,1st,Electric Vehicle,Google Form,0
LD5561,Ahmedabad,ABC Institute,1st,Data Science,Google Form,0
LD5562,Delhi,ABC Institute,1st,Data Science,Mass-Mailing,1
LD5563,Delhi,PQR University,3rd,Robotics,Google Form,0
LD5564,Ahmedabad,XYZ University,1st,Data Science,LinkedIn,0
LD5565,Surat,PQR University,3rd,Data Science,Instagram,1
LD5566,Bangalore,ABC Institute,1st,AI,LinkedIn,0
LD5567,Ahmedabad,LMN College,3rd,Data Science,Google Form,0
LD5568,Surat,LMN College,3rd,Robotics,Mass-Mailing,1
LD5569,Surat,XYZ University,3rd,AI,Mass-Mailing,1
LD5570,Delhi,LMN College,1st,Data Science,Instagram,1
LD5571,Mumbai,XYZ University,1st,AI,Whatsapp,1
LD5572,Mumbai,PQR University,4th,Robotics,Google Form,0
LD5573,Bangalore,XYZ University,1st,Robotics,College Collaboration,1
LD5574,Bangalore,PQR University,4th,Data Science,College Collaboration,0
LD5575,Delhi,LMN College,3rd,AI,Mass-Mailing,0
LD5576,Bangalore,PQR University,1st,Electric Vehicle,Whatsapp,0
LD5577,Bangalore,PQR University,3rd,AI,Instagram,0
LD5578,Ahmedabad,ABC Institute,4th,Robotics,LinkedIn,1
LD5579,Ahmedabad,PQR University,4th,AI,Whatsapp,1
LD5580,Mumbai,ABC Institute,4th,Robotics,Mass-Mailing,0
LD5581,Mumbai,ABC Institute,3rd,Electric Vehicle,Mass-Mailing,0
LD5582,Surat,XYZ University,2nd,Electric Vehicle,LinkedIn,0
LD5583,Surat,PQR University,4th,AI,Mass-Mailing,1
LD5584,Ahmedabad,ABC Institute,4th,Data Science,LinkedIn,1
LD5585,Bangalore,PQR University,4th,Electric Vehicle,Instagram,0
LD5586,Surat,PQR University,1st,AI,Instagram,0
LD5587,Bangalore,XYZ University,2nd,AI,Google Form,0
LD5588,Mumbai,LMN College,3rd,AI,Whatsapp,0
LD5589,Ahmedabad,XYZ University,4th,Data Science,College Collaboration,1
LD5590,Ahmedabad,XYZ University,1st,Data Science,College Collaboration,0
LD5591,Delhi,XYZ University,1st,Electric Vehicle,LinkedIn,0
LD5592,Mumbai,XYZ University,4th,AI,Mass-Mailing,0
LD5593,Delhi,PQR University,2nd,Electric Vehicle,Whatsapp,0
LD5594,Delhi,PQR University,3rd,Electric Vehicle,Instagram,1
LD5595,Ahmedabad,PQR University,2nd,AI,Whatsapp,0
LD5596,Delhi,PQR University,1st,Robotics,Whatsapp,0
LD5597,Ahmedabad,PQR University,3rd,Data Science,Mass-Mailing,0
LD5598,Ahmedabad,XYZ University,2nd,Robotics,College Collaboration,0
LD5599,Bangalore,LMN College,3rd,Electric Vehicle,Google Form,0
LD5600,Delhi,ABC Institute,1st,Data Science,Mass-Mailing,1
LD5601,Delhi,ABC Institute,3rd,AI,Instagram,0
LD5602,Mumbai,PQR University,4th,AI,Mass-Mailing,0
LD5603,Mumbai,LMN College,2nd,AI,Mass-Mailing,0
